group,metric,year_label,value,year_aliases
People aged 45 years and over,Retirees,2020-21,4.1 million,2020 2020 2021 2020-2021 2020-21 2020/2021 2021
People aged 45 years and over,Retirees,2022-23,4.2 million,2022 2022 2023 2022-2023 2022-23 2022/2023 2023
People aged 45 years and over,Proportion retired,2020-21,40%,2020 2020 2021 2020-2021 2020-21 2020/2021 2021
People aged 45 years and over,Proportion retired,2022-23,40%,2022 2022 2023 2022-2023 2022-23 2022/2023 2023
People aged 45 years and over,Average age of retirement,2020-21,56.3 years,2020 2020 2021 2020-2021 2020-21 2020/2021 2021
People aged 45 years and over,Average age of retirement,2022-23,56.9 years,2022 2022 2023 2022-2023 2022-23 2022/2023 2023
Men aged 45 years and over,Retirees,2020-21,1.8 million,2020 2020 2021 2020-2021 2020-21 2020/2021 2021
Men aged 45 years and over,Retirees,2022-23,1.9 million,2022 2022 2023 2022-2023 2022-23 2022/2023 2023
Men aged 45 years and over,Proportion retired,2020-21,37%,2020 2020 2021 2020-2021 2020-21 2020/2021 2021
Men aged 45 years and over,Proportion retired,2022-23,37%,2022 2022 2023 2022-2023 2022-23 2022/2023 2023
Men aged 45 years and over,Average age of retirement,2020-21,59.3 years,2020 2020 2021 2020-2021 2020-21 2020/2021 2021
Men aged 45 years and over,Average age of retirement,2022-23,59.4 years,2022 2022 2023 2022-2023 2022-23 2022/2023 2023
Women aged 45 years and over,Retirees,2020-21,2.3 million,2020 2020 2021 2020-2021 2020-21 2020/2021 2021
Women aged 45 years and over,Retirees,2022-23,2.3 million,2022 2022 2023 2022-2023 2022-23 2022/2023 2023
Women aged 45 years and over,Proportion retired,2020-21,43%,2020 2020 2021 2020-2021 2020-21 2020/2021 2021
Women aged 45 years and over,Proportion retired,2022-23,42%,2022 2022 2023 2022-2023 2022-23 2022/2023 2023
Women aged 45 years and over,Average age of retirement,2020-21,54.0 years,2020 2020 2021 2020-2021 2020-21 2020/2021 2021
Women aged 45 years and over,Average age of retirement,2022-23,54.7 years,2022 2022 2023 2022-2023 2022-23 2022/2023 2023
